,datetime,count,temp,precip
165,14-Jun-19,25090,20,16.25
166,15-Jun-19,19900,23.05,0
167,16-Jun-19,29757,23.9,0.75
168,17-Jun-19,15965,22.5,0
169,18-Jun-19,13958,21.4,2.5
170,19-Jun-19,13261,19.75,13.25
171,20-Jun-19,16317,21.15,2.25
172,21-Jun-19,20863,21.65,31.75
173,22-Jun-19,20248,21.65,3.75
174,23-Jun-19,31894,24.7,0
175,24-Jun-19,18972,25.55,0
176,25-Jun-19,16116,26.1,9.75
177,26-Jun-19,14392,26.4,0.75
178,27-Jun-19,15921,27.25,0
179,28-Jun-19,21434,28.05,0
180,29-Jun-19,19526,29.15,0
181,30-Jun-19,24733,25.25,1
182,1-Jul-19,23732,25,0.5
183,2-Jul-19,16652,27.5,0
184,3-Jul-19,19919,27.2,0.25
185,4-Jul-19,25121,27.25,0
186,5-Jul-19,23230,25.8,0
187,6-Jul-19,23676,29.15,0
188,7-Jul-19,34733,26.35,0
189,8-Jul-19,17829,24.15,0
190,9-Jul-19,13861,26.95,0.5
191,10-Jul-19,13896,28.3,0
192,11-Jul-19,15676,26.95,0
193,12-Jul-19,21565,27.2,18
194,13-Jul-19,20479,26.95,0
195,14-Jul-19,28931,29.45,0
196,15-Jul-19,17198,26.65,0
197,16-Jul-19,13737,28.35,0
198,17-Jul-19,14108,28.6,0
199,18-Jul-19,16807,23.9,67.25
200,19-Jul-19,24060,28.05,7.5
201,20-Jul-19,21315,32.8,0
202,21-Jul-19,29620,33.3,0
203,22-Jul-19,19607,27.5,0.25
204,23-Jul-19,14701,22.2,44
205,24-Jul-19,14286,25.25,0.5
206,25-Jul-19,15934,25.8,0
207,26-Jul-19,22511,26.1,0
208,27-Jul-19,21811,26.95,0
209,28-Jul-19,28354,28.85,0
210,29-Jul-19,16934,29.75,0
211,30-Jul-19,13706,30.8,0
212,31-Jul-19,13278,27.2,0
213,1-Aug-19,15976,26.7,14.5
214,2-Aug-19,22998,26.65,0
215,3-Aug-19,20751,25.55,0
216,4-Aug-19,30144,26.15,3
217,5-Aug-19,19114,24.45,0
218,6-Aug-19,15280,25,0
219,7-Aug-19,14895,25.3,0
220,8-Aug-19,19264,27.25,15.5
221,9-Aug-19,22002,25.8,2.5
222,10-Aug-19,22025,24.45,0
223,11-Aug-19,26491,23.9,0
224,12-Aug-19,16885,26.95,0
225,13-Aug-19,13715,25.55,0.25
226,14-Aug-19,14888,25,0.25
227,15-Aug-19,16712,25.55,0
228,16-Aug-19,20598,24.15,0
229,17-Aug-19,20570,26.1,0
230,18-Aug-19,28820,28.05,4
231,19-Aug-19,17612,28.6,10.75
232,20-Aug-19,13632,27.75,0
233,21-Aug-19,14488,28.9,0
234,22-Aug-19,16860,27.75,8.75
235,23-Aug-19,22061,21.65,29.5
236,24-Aug-19,21893,21.1,1.5
237,25-Aug-19,29150,21.65,0
238,26-Aug-19,17918,19.45,0
239,27-Aug-19,15215,21.35,0
240,28-Aug-19,14714,22.5,0
241,29-Aug-19,16608,24.45,2.5
242,30-Aug-19,22347,26.1,0
243,31-Aug-19,24040,24.45,0
244,1-Sep-19,25179,21.95,0
245,2-Sep-19,42616,23.35,0
246,3-Sep-19,19938,23.9,12.75
247,4-Sep-19,16938,26.4,0
248,5-Sep-19,17301,20.85,0
249,6-Sep-19,22423,18.35,0
250,7-Sep-19,19598,19.7,0.75
251,8-Sep-19,28221,22.75,0
252,9-Sep-19,18440,21.65,0
253,10-Sep-19,15934,22.5,0
254,11-Sep-19,14281,27.25,0
255,12-Sep-19,16385,23.05,0
